,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,72900,2,-900,-1.22,73700,73700,72800,7495364,548656332800,435197147895000,5969782550,STK
1,000660,KR7000660001,SK하이닉스,KOSPI,,148800,2,-2500,-1.65,150300,151100,147500,1795212,267697400100,108326751912000,728002365,STK
2,373220,KR7373220003,LG에너지솔루션,KOSPI,,400000,1,2500,0.63,397500,401000,392000,86166,34223000500,93600000000000,234000000,STK
3,207940,KR7207940008,삼성바이오로직스,KOSPI,,817000,2,-4000,-0.49,819000,824000,815000,32316,26471540000,58149158000000,71174000,STK
4,005935,KR7005931001,삼성전자우,KOSPI,,62400,2,-100,-0.16,62800,62800,62200,431241,26950859500,51348130080000,822886700,STK
5,005380,KR7005380001,현대차,KOSPI,,240000,2,-12500,-4.95,250000,253000,239500,1225073,300736800500,50767561440000,211531506,STK
6,000270,KR7000270009,기아,KOSPI,,113800,2,-3800,-3.23,115600,118700,113500,1104889,128554936300,45752630301400,402044203,STK
7,068270,KR7068270008,셀트리온,KOSPI,,180500,2,-1900,-1.04,182500,183000,180000,247855,44869177000,39357982041000,218049762,STK
8,005490,KR7005490008,POSCO홀딩스,KOSPI,,437000,2,-7500,-1.69,443000,443000,433500,319724,139846947500,36957627510000,84571230,STK
9,051910,KR7051910008,LG화학,KOSPI,,506000,2,-2000,-0.39,507000,508000,491500,190975,95405912000,35719725558000,70592343,STK
10,035420,KR7035420009,NAVER,KOSPI,,202500,2,-1000,-0.49,203500,205500,202500,412008,84002751000,32887740285000,162408594,STK
11,028260,KR7028260008,삼성물산,KOSPI,,163600,2,-6800,-3.99,170300,171000,163500,483736,80672793800,30362797212000,185591670,STK
12,006400,KR7006400006,삼성SDI,KOSPI,,393500,2,-1000,-0.25,394000,396000,386000,152869,59688041000,27058842555000,68764530,STK
13,105560,KR7105560007,KB금융,KOSPI,,65700,2,-3100,-4.51,69000,69300,65700,877224,58883510000,26510677430400,403511072,STK
14,035720,KR7035720002,카카오,KOSPI,,58700,1,500,0.86,57900,60000,57800,1503615,88912466100,26121446406900,444999087,STK
15,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,249500,1,5500,2.25,240000,252500,235000,720505,176262842500,24401435328000,97801344,KSQ
16,003670,KR7003670007,포스코퓨처엠,KOSPI,,300500,1,4000,1.35,292000,303500,286000,425683,125342978000,23277697610000,77463220,STK
17,012330,KR7012330007,현대모비스,KOSPI,,238500,2,-5500,-2.25,244000,246000,238500,201027,48789163500,22336739919000,93655094,STK
18,055550,KR7055550008,신한지주,KOSPI,,42800,2,-2250,-4.99,45100,45150,42700,1290535,56367807900,21946105358800,512759471,STK
19,032830,KR7032830002,삼성생명,KOSPI,,82300,2,-2700,-3.18,85000,85700,82100,320722,26811941600,16460000000000,200000000,STK
20,086790,KR7086790003,하나금융지주,KOSPI,,55300,2,-3600,-6.11,59500,59500,55100,1190830,68241011760,16167319869400,292356598,STK
21,066570,KR7066570003,LG전자,KOSPI,,98100,2,-1700,-1.7,100100,100200,98100,239999,23713718300,16053850553400,163647814,STK
22,086520,KR7086520004,에코프로,KOSDAQ,우량기업부,594000,2,-11000,-1.82,593000,607000,574000,468853,276246620000,15816834792000,26627668,KSQ
23,003550,KR7003550001,LG,KOSPI,,97500,2,-6000,-5.8,102900,103300,97300,304628,30387995100,15336846817500,157300993,STK
24,138040,KR7138040001,메리츠금융지주,KOSPI,,74700,2,-3900,-4.96,79100,79200,74600,307311,23526832100,15191896915800,203372114,STK
25,015760,KR7015760002,한국전력,KOSPI,,22700,2,-500,-2.16,23300,23950,22550,3629428,84095213500,14572584547900,641964077,STK
26,034730,KR7034730002,SK,KOSPI,,197700,2,-9800,-4.72,208000,208500,197500,127396,25654656600,14471309643300,73198329,STK
27,000810,KR7000810002,삼성화재,KOSPI,,301500,2,-16000,-5.04,317000,317500,299000,69278,21087251500,14283513355500,47374837,STK
28,323410,KR7323410001,카카오뱅크,KOSPI,,29800,2,-200,-0.67,30000,30550,29650,651791,19623876850,14210789682600,476872137,STK
29,011200,KR7011200003,HMM,KOSPI,,18670,2,-10,-0.05,18700,18750,18230,1052016,19453775600,12864367390320,689039496,STK
30,450080,KR7450080007,에코프로머티,KOSPI,,185300,2,-2300,-1.23,183200,190500,176800,925000,169820496800,12782960895400,68985218,STK
31,096770,KR7096770003,SK이노베이션,KOSPI,,126200,2,-2700,-2.09,128900,129600,126100,205755,26151563900,12702732176800,100655564,STK
32,018260,KR7018260000,삼성에스디에스,KOSPI,,159900,2,-3200,-1.96,163100,164800,159200,66270,10718058500,12372710220000,77377800,STK
33,033780,KR7033780008,KT&G,KOSPI,,91300,1,200,0.22,90900,91700,90600,80575,7351543500,12217993976100,133822497,STK
34,017670,KR7017670001,SK텔레콤,KOSPI,,53600,1,700,1.32,53100,53700,52900,443748,23679418700,11729456518400,218833144,STK
35,259960,KR7259960003,크래프톤,KOSPI,,231000,2,-4000,-1.7,235000,238000,230500,32211,7505773500,11172197883000,48364493,STK
36,316140,KR7316140003,우리금융지주,KOSPI,,14640,2,-420,-2.79,15070,15180,14630,1696474,25267843190,11008540109040,751949461,STK
37,024110,KR7024110009,기업은행,KOSPI,,13700,2,-320,-2.28,14140,14160,13660,1118859,15578901680,10924734405300,797425869,STK
38,030200,KR7030200000,KT,KOSPI,,41400,2,-800,-1.9,42200,42200,41100,581798,24154175550,10675435464000,257860760,STK
39,028300,KR7028300002,HLB,KOSDAQ,중견기업부,79400,1,600,0.76,79300,83000,77500,3375397,271597852000,10376749158400,130689536,KSQ
40,047050,KR7047050000,포스코인터내셔널,KOSPI,,58500,1,500,0.86,58000,59400,57500,484393,28367543900,10291483098000,175922788,STK
41,009150,KR7009150004,삼성전기,KOSPI,,136400,2,-700,-0.51,137200,137700,136400,98303,13466620600,10188220134400,74693696,STK
42,034020,KR7034020008,두산에너빌리티,KOSPI,,15440,2,-190,-1.22,15720,15720,15430,1186136,18389811670,9890264094240,640561146,STK
43,329180,KR7329180004,HD현대중공업,KOSPI,,109900,2,-1000,-0.9,110400,111000,109700,36057,3973376400,9756165448400,88773116,STK
44,010130,KR7010130003,고려아연,KOSPI,,460000,2,-8500,-1.81,467500,468000,459000,22877,10563485500,9617950480000,20908588,STK
45,402340,KR7402340004,SK스퀘어,KOSPI,,68300,2,-1300,-1.87,69400,70500,67700,522698,36120628400,9492404758800,138981036,STK
46,022100,KR7022100002,포스코DX,KOSPI,,58300,2,-300,-0.51,58600,59200,57600,467765,27237016700,8863624700700,152034729,STK
47,003490,KR7003490000,대한항공,KOSPI,,23500,1,100,0.43,23400,23600,23300,526198,12365083550,8653185533500,368220661,STK
48,010950,KR7010950004,S-Oil,KOSPI,,75600,1,800,1.07,74700,76000,74400,276327,20862409400,8511259075200,112582792,STK
49,352820,KR7352820005,하이브,KOSPI,,204000,3,0,0.0,203500,206500,199900,99849,20290785300,8497027788000,41652097,STK
50,009540,KR7009540006,HD한국조선해양,KOSPI,,117500,2,-2000,-1.67,119500,120400,117500,70727,8381738200,8315841130000,70773116,STK
51,012450,KR7012450003,한화에어로스페이스,KOSPI,,156900,1,5000,3.29,152400,160000,151300,1013794,159229342350,7943847000000,50630000,STK
52,090430,KR7090430000,아모레퍼시픽,KOSPI,,126600,2,-900,-0.71,126500,127300,124900,57424,7227035700,7405183289400,58492759,STK
53,042700,KR7042700005,한미반도체,KOSPI,,74800,1,300,0.4,75600,77900,74500,1243714,94575138800,7280979789600,97339302,STK
54,005830,KR7005830005,DB손해보험,KOSPI,,99100,2,-3000,-2.94,102000,102200,98400,41547,4134866100,7016280000000,70800000,STK
55,326030,KR7326030004,SK바이오팜,KOSPI,,89200,1,2700,3.12,86200,89300,86100,151785,13391604600,6985541900000,78313250,STK
56,086280,KR7086280005,현대글로비스,KOSPI,,185200,1,2100,1.15,184000,187100,182500,65068,12071655500,6945000000000,37500000,STK
57,161390,KR7161390000,한국타이어앤테크놀로지,KOSPI,,55900,2,-300,-0.53,56100,56600,55600,97062,5440976800,6924616357100,123875069,STK
58,042660,KR7042660001,한화오션,KOSPI,,22200,2,-350,-1.55,22700,23000,22100,447108,10003956800,6801167557800,306358899,STK
59,377300,KR7377300009,카카오페이,KOSPI,,47850,2,-950,-1.95,48800,49300,47100,113792,5482184550,6425971728000,134294080,STK
60,010140,KR7010140002,삼성중공업,KOSPI,,7260,2,-50,-0.68,7320,7360,7250,1736604,12664391450,6388800000000,880000000,STK
61,005070,KR7005070008,코스모신소재,KOSPI,,179500,1,9100,5.34,170400,180000,169400,317850,55929389600,5835680702000,32510756,STK
62,011170,KR7011170008,롯데케미칼,KOSPI,,135600,2,-2800,-2.02,138500,138500,135500,42057,5745717900,5800346816400,42775419,STK
63,348370,KR7348370008,엔켐,KOSDAQ,벤처기업부,332500,1,31000,10.28,317500,338000,314500,998545,326642558500,5711728225000,17178130,KSQ
64,009830,KR7009830001,한화솔루션,KOSPI,,33100,2,-150,-0.45,33450,33650,33050,349647,11659353250,5689642941600,171892536,STK
65,005387,KR7005382007,현대차2우B,KOSPI,,157000,2,-10100,-6.04,168800,170000,155800,312181,50699459000,5670933729000,36120597,STK
66,267250,KR7267250009,HD현대,KOSPI,,71200,2,-1000,-1.39,72300,73400,71200,115702,8334566300,5624307652000,78993085,STK
67,066970,KR7066970005,엘앤에프,KOSPI,,153600,1,1600,1.05,150100,154300,148300,195246,29625896300,5567665920000,36247825,STK
68,088980,KR7088980008,맥쿼리인프라,KOSPI,,12540,1,20,0.16,12550,12560,12530,212929,2671189770,5464698191700,435781355,STK
69,251270,KR7251270005,넷마블,KOSPI,,63100,2,-1500,-2.32,64300,64900,62700,33959,2153996000,5423665976200,85953502,STK
70,051900,KR7051900009,LG생활건강,KOSPI,,344500,1,4500,1.32,340000,353000,333500,90922,31275302500,5380468866500,15618197,STK
71,001570,KR7001570001,금양,KOSPI,,92000,1,500,0.55,89800,92700,87200,359606,32343929300,5340603404000,58050037,STK
72,006800,KR7006800007,미래에셋증권,KOSPI,,8730,2,-290,-3.22,9030,9030,8690,540293,4763772560,5284412241840,605316408,STK
73,454910,KR7454910001,두산로보틱스,KOSPI,,79700,2,-100,-0.13,79200,81700,79000,500443,40219471900,5166152406000,64819980,STK
74,000100,KR7000100008,유한양행,KOSPI,,64400,1,1100,1.74,63200,66000,62800,402853,26069766900,5165463721600,80209064,STK
75,047810,KR7047810007,한국항공우주,KOSPI,,52900,2,-500,-0.94,53700,54000,52700,393861,21002783600,5156433160300,97475107,STK
76,361610,KR7361610009,SK아이이테크놀로지,KOSPI,,70700,1,700,1.0,69900,71100,69600,91173,6424916900,5040739754400,71297592,STK
77,302440,KR7302440003,SK바이오사이언스,KOSPI,,64700,2,-100,-0.15,64600,65000,64200,29530,1909082400,4970755425000,76827750,STK
78,004020,KR7004020004,현대제철,KOSPI,,35700,2,-700,-1.92,36350,36650,35500,144250,5172932700,4764014524500,133445785,STK
79,267260,KR7267260008,HD현대일렉트릭,KOSPI,,132000,1,8400,6.8,127000,133500,125800,413945,54066444300,4758221820000,36047135,STK
80,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,기술성장기업부,89600,1,200,0.22,90000,91000,87500,395435,35282513800,4749859788800,53011828,KSQ
81,241560,KR7241560002,두산밥캣,KOSPI,,47350,2,-1050,-2.17,48400,48400,47300,126313,6019536850,4746798010100,100249166,STK
82,403870,KR7403870009,HPSP,KOSDAQ,벤처기업부,56800,1,700,1.25,56300,58000,55500,1589925,90169660700,4710248715200,82926914,KSQ
83,011070,KR7011070000,LG이노텍,KOSPI,,197700,1,2300,1.18,196100,199300,195400,86084,16989351500,4678987053900,23667107,STK
84,180640,KR7180640005,한진칼,KOSPI,,69900,1,300,0.43,70500,70600,68900,73898,5158542700,4666683302100,66762279,STK
85,028050,KR7028050003,삼성엔지니어링,KOSPI,,23750,2,-500,-2.06,24250,24300,23750,405108,9717242200,4655000000000,196000000,STK
86,036570,KR7036570000,엔씨소프트,KOSPI,,210500,2,-2500,-1.17,213000,213000,208500,24853,5237300000,4621321631000,21954022,STK
87,078930,KR7078930005,GS,KOSPI,,49700,2,-1800,-3.5,51800,51900,49650,68979,3471366900,4617894286600,92915378,STK
88,097950,KR7097950000,CJ제일제당,KOSPI,,304500,1,500,0.16,304500,307500,303500,14346,4382414000,4583999637000,15054186,STK
89,032640,KR7032640005,LG유플러스,KOSPI,,10270,2,-110,-1.06,10360,10370,10210,399637,4108318850,4483998677470,436611361,STK
90,128940,KR7128940004,한미약품,KOSPI,,342500,1,6000,1.78,338500,352500,336000,47592,16471990500,4387764417500,12810991,STK
91,011780,KR7011780004,금호석유,KOSPI,,151600,2,-9900,-6.13,161000,162000,150700,140412,21774500900,4327828136400,28547679,STK
92,029780,KR7029780004,삼성카드,KOSPI,,37150,1,450,1.23,36900,37200,36450,141658,5248883000,4304157800650,115858891,STK
93,307950,KR7307950006,현대오토에버,KOSPI,,156700,1,1400,0.9,155200,161000,154500,104463,16493282300,4297337979400,27423982,STK
94,034220,KR7034220004,LG디스플레이,KOSPI,,11840,2,-180,-1.5,12050,12050,11800,521189,6189537930,4236537888000,357815700,STK
95,021240,KR7021240007,코웨이,KOSPI,,56900,2,-600,-1.04,57500,57900,56700,47200,2701207300,4199198321100,73799619,STK
96,068760,KR7068760008,셀트리온제약,KOSDAQ,우량기업부,101700,2,-700,-0.68,102700,103200,101200,88446,9033118200,4028361713100,39610243,KSQ
97,071050,KR7071050009,한국금융지주,KOSPI,,69300,2,-1600,-2.26,70700,71000,69200,86609,6075584400,3861811245600,55725992,STK
98,271560,KR7271560005,오리온,KOSPI,,97100,2,-600,-0.61,98900,99000,96500,116928,11374047900,3838958417200,39536132,STK
